"id","host_is_superhost","neighbourhood_cleansed","zipcode","property_type","accommodates","bathrooms","bedrooms","price","review_scores_rating","availability_365"
"3807461","f","Waterfront Communities-The Island","M5H 1Y2","Loft","5.0","1.0","2.0","1251.0","99.0","89.0"
"3994274","t","Waterfront Communities-The Island","M5H 0A2","Condominium","2.0","1.5","2.0","399.0","null","86.0"
"4379003","f","Bay Street Corridor","m5h3t9","Condominium","3.0","1.0","1.0","159.0","93.0","117.0"
"4535652","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","1.0","144.0","99.0","82.0"
"4821682","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","1.0","144.0","95.0","79.0"
"5598800","t","Bay Street Corridor","M5H","Apartment","2.0","1.0","1.0","125.0","99.0","271.0"
"6994078","t","Bay Street Corridor","M5H 4E6","Apartment","3.0","1.0","1.0","186.0","96.0","103.0"
"7178052","t","Waterfront Communities-The Island","M5H 4E9","Condominium","3.0","1.0","2.0","160.0","96.0","39.0"
"9558814","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","0.0","110.0","90.0","46.0"
"9735300","t","Waterfront Communities-The Island","M5H 4E9","Apartment","3.0","1.0","2.0","160.0","100.0","44.0"
"9739179","f","Waterfront Communities-The Island","M5H 4E9","Condominium","3.0","1.0","1.0","130.0","95.0","11.0"
"10067906","t","Waterfront Communities-The Island","M5H 4E9","Apartment","2.0","1.0","0.0","115.0","97.0","49.0"
"10084933","t","Bay Street Corridor","M5H 4E9","Apartment","2.0","1.0","1.0","135.0","90.0","33.0"
"10096536","t","Waterfront Communities-The Island","M5H 4E9","Condominium","4.0","2.0","2.0","251.0","97.0","28.0"
"10151221","t","Bay Street Corridor","M5H 4E9","Condominium","4.0","2.0","2.0","251.0","98.0","44.0"
"11648181","t","Waterfront Communities-The Island","M5H 4E9","Apartment","2.0","1.0","1.0","121.0","100.0","97.0"
"12912078","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","1.0","144.0","98.0","38.0"
"13407649","t","Waterfront Communities-The Island","M5H 4E9","Condominium","5.0","2.0","2.0","251.0","100.0","30.0"
"15430387","t","Bay Street Corridor","M5H","Condominium","3.0","1.0","0.0","118.0","98.0","38.0"
"16056016","f","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","175.0","96.0","41.0"
"16144742","f","Bay Street Corridor","M5H 0B1","Apartment","4.0","1.0","2.0","199.0","80.0","68.0"
"16254732","f","Bay Street Corridor","M5H 3K6","Apartment","3.0","1.0","2.0","170.0","90.0","130.0"
"16255015","f","Bay Street Corridor","M5H","Apartment","2.0","1.0","1.0","159.0","92.0","164.0"
"16354190","f","Bay Street Corridor","M5H 3K6","Apartment","4.0","1.0","2.0","199.0","95.0","68.0"
"16521350","f","Bay Street Corridor","M5H 0B1","Apartment","4.0","2.0","2.0","175.0","98.0","41.0"
"16709255","t","Bay Street Corridor","M5H 0B1","Condominium","6.0","2.0","2.0","109.0","97.0","142.0"
"16960219","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","292.0","98.0","89.0"
"17186961","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","121.0","95.0","45.0"
"17388045","t","Bay Street Corridor","M5H 4C9","Condominium","4.0","2.0","2.0","260.0","97.0","13.0"
"17480157","f","Bay Street Corridor","M5H 3K6","Apartment","4.0","2.0","2.0","179.0","94.0","70.0"
"17888437","t","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","99.0","97.0","48.0"
"17888829","f","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","99.0","95.0","52.0"
"18893755","t","Bay Street Corridor","M5H 4E6","Apartment","2.0","1.0","1.0","137.0","95.0","12.0"
"18894131","t","Bay Street Corridor","M5H","Condominium","2.0","1.0","0.0","129.0","98.0","262.0"
"19202117","f","Waterfront Communities-The Island","M5H 4E9","Apartment","3.0","1.0","1.0","101.0","97.0","252.0"
"19859592","t","Bay Street Corridor","M5H 1S3","Condominium","3.0","1.0","1.0","150.0","99.0","76.0"
